justica,ano,tribunal_uf,baixados,novos,pendentes,ufn,idhm,t_analf18m,rdpc,pop
Estadual,2017,MS,126890,136301,4278848,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2017,MT,164256,156314,5247408,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2017,PA,199156,150135,6621078,Pará,0.646,12.58,446.76,7524487
Estadual,2017,PB,125519,109466,5056228,Paraíba,0.658,23.39,474.94,3744722
Estadual,2017,PE,287961,203289,9097113,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2017,PI,72010,91373,3890236,Piauí,0.646,24.55,416.93,3102747
Estadual,2017,PR,434144,438923,14755090,Paraná,0.749,6.69,890.89,10379795
Estadual,2017,RJ,909577,496006,31477560,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2017,RN,91319,128938,3448735,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2017,RO,258,3644,1008,Rondônia,0.69,9.42,670.82,1547341
Estadual,2017,RR,26938,21055,417689,Roraima,0.707,11.01,605.59,445981
Estadual,2017,RS,562365,472165,20578045,Rio Grande do Sul,0.746,4.75,959.24,10618321
Estadual,2017,SC,300980,283584,13100928,Santa Catarina,0.774,4.37,983.9,6211299
Estadual,2017,SE,113991,103491,1825744,Sergipe,0.665,19.72,523.53,2054725
Estadual,2017,SP,2379319,1822758,57633274,São Paulo,0.783,4.53,1084.46,40944103
Estadual,2017,TO,74856,67589,1523035,Tocantins,0.699,14.14,586.62,1373823
Estadual,2018,AC,28560,27073,581410,Acre,0.663,17.79,522.15,728620
Estadual,2018,AL,94039,76065,3316663,Alagoas,0.631,26.09,432.56,3092407
Estadual,2018,AM,111332,111310,3890698,Amazonas,0.674,10.47,539.8,3460784
Estadual,2018,AP,32939,27666,489431,Amapá,0.708,9.09,598.98,664167
Estadual,2018,BA,397198,367531,16011930,Bahia,0.66,17.73,496.73,13933018
Estadual,2018,CE,233243,249985,8800893,Ceará,0.682,20.14,460.63,8403301
Estadual,2018,DF,159741,152546,1613928,Distrito Federal,0.824,3.66,1715.11,2543802
Estadual,2018,ES,195020,129216,5594120,Espírito Santo,0.74,8.62,815.43,3492253
Estadual,2018,GO,270035,210498,8513345,Goiás,0.735,8.46,810.97,5962442
Estadual,2018,MA,162693,151854,7156142,Maranhão,0.639,22.51,360.34,6547083
Estadual,2018,MG,808578,672517,23016984,Minas Gerais,0.731,8.83,749.69,19471105
Estadual,2018,MS,141798,157304,4329528,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2018,MT,194905,137248,5265405,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2018,PA,179580,133793,6895021,Pará,0.646,12.58,446.76,7524487
Estadual,2018,PB,118951,95278,5167850,Paraíba,0.658,23.39,474.94,3744722
Estadual,2018,PE,249881,216007,8391701,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2018,PI,86299,87543,3970130,Piauí,0.646,24.55,416.93,3102747
Estadual,2018,PR,439868,436528,14640808,Paraná,0.749,6.69,890.89,10379795
Estadual,2018,RJ,998284,551903,35655913,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2018,RN,104468,88391,3013506,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2018,RO,836,1759,41141,Rondônia,0.69,9.42,670.82,1547341
Estadual,2018,RR,35805,31203,446776,Roraima,0.707,11.01,605.59,445981
Estadual,2018,RS,491032,459729,14541811,Rio Grande do Sul,0.746,4.75,959.24,10618321
Estadual,2018,SC,279377,306184,12999030,Santa Catarina,0.774,4.37,983.9,6211299
Estadual,2018,SE,121798,103616,1968183,Sergipe,0.665,19.72,523.53,2054725
Estadual,2018,SP,2586170,1783100,53797514,São Paulo,0.783,4.53,1084.46,40944103
Estadual,2018,TO,69988,73051,1510773,Tocantins,0.699,14.14,586.62,1373823
Estadual,2019,AC,49170,40397,716264,Acre,0.663,17.79,522.15,728620
Estadual,2019,AL,143040,102023,3504847,Alagoas,0.631,26.09,432.56,3092407
Estadual,2019,AM,210602,178223,4150847,Amazonas,0.674,10.47,539.8,3460784
Estadual,2019,AP,47045,53880,583564,Amapá,0.708,9.09,598.98,664167
Estadual,2019,BA,996734,747467,22189140,Bahia,0.66,17.73,496.73,13933018
Estadual,2019,CE,360726,310807,9551561,Ceará,0.682,20.14,460.63,8403301
Estadual,2019,DF,251444,255413,2419685,Distrito Federal,0.824,3.66,1715.11,2543802
Estadual,2019,ES,312420,206102,6845625,Espírito Santo,0.74,8.62,815.43,3492253
Estadual,2019,GO,406936,315438,9614325,Goiás,0.735,8.46,810.97,5962442
Estadual,2019,MA,343820,255112,8764494,Maranhão,0.639,22.51,360.34,6547083
Estadual,2019,MG,956409,861781,22442781,Minas Gerais,0.731,8.83,749.69,19471105
Estadual,2019,MS,225805,222078,4947704,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2019,MT,287633,242553,5989150,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2019,PB,254410,149700,6136866,Paraíba,0.658,23.39,474.94,3744722
Estadual,2019,PE,371113,317096,8720756,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2019,PI,138499,149437,4824926,Piauí,0.646,24.55,416.93,3102747
Estadual,2019,PR,676738,710575,20189800,Paraná,0.749,6.69,890.89,10379795
Estadual,2019,RJ,1867598,1002730,33826646,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2019,RN,141661,151983,3435887,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2019,RO,155577,147772,1976746,Rondônia,0.69,9.42,670.82,1547341
Estadual,2019,RR,31547,26676,365605,Roraima,0.707,11.01,605.59,445981
Estadual,2019,RS,681803,784831,17522199,Rio Grande do Sul,0.746,4.75,959.24,10618321
Estadual,2019,SC,465553,235392,12751043,Santa Catarina,0.774,4.37,983.9,6211299
Estadual,2019,SE,182731,140084,2236448,Sergipe,0.665,19.72,523.53,2054725
Estadual,2019,SP,3021478,2052317,46221919,São Paulo,0.783,4.53,1084.46,40944103
Estadual,2019,TO,102688,118245,1942627,Tocantins,0.699,14.14,586.62,1373823
Estadual,2019,PA,52178,44821,841421,Pará,0.646,12.58,446.76,7524487
Estadual,2020,AC,33888,26699,638552,Acre,0.663,17.79,522.15,728620
Estadual,2020,AL,111645,79844,3082049,Alagoas,0.631,26.09,432.56,3092407
Estadual,2020,AM,166039,194496,4557449,Amazonas,0.674,10.47,539.8,3460784
